"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Patient2","Patient2","","","",0,*,"","","","null {[]} {[]}
","PATIENT (2)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file PATIENT (2)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Patient2.integrationControlNumber","Patient2.integrationControlNumber","","","",0,1,"","","","Element {[]} {[]}
","INTEGRATION CONTROL NUMBER (-991.01)","INTEGRATION CONTROL NUMBER (-991.01)","","","","","","","","","",,,,,"",,,,"Patient2.integrationControlNumber",0,1,"",""
"Patient2.name","Patient2.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"Patient2.name",0,1,"",""
"Patient2.phoneNumberResidence","Patient2.phoneNumberResidence","","","",0,1,"","","","Element {[]} {[]}
","PHONE NUMBER [RESIDENCE] (-.131)","PHONE NUMBER [RESIDENCE] (-.131)","","","","","","","","","",,,,,"",,,,"Patient2.phoneNumberResidence",0,1,"",""
"Patient2.phoneNumberWork","Patient2.phoneNumberWork","","","",0,1,"","","","Element {[]} {[]}
","PHONE NUMBER [WORK] (-.132)","PHONE NUMBER [WORK] (-.132)","","","","","","","","","",,,,,"",,,,"Patient2.phoneNumberWork",0,1,"",""
"Patient2.phoneNumberCellular","Patient2.phoneNumberCellular","","","",0,1,"","","","Element {[]} {[]}
","PHONE NUMBER [CELLULAR] (-.134)","PHONE NUMBER [CELLULAR] (-.134)","","","","","","","","","",,,,,"",,,,"Patient2.phoneNumberCellular",0,1,"",""
"Patient2.dateOfBirth","Patient2.dateOfBirth","","","",0,1,"","","","Element {[]} {[]}
","DATE OF BIRTH (-.03)","DATE OF BIRTH (-.03)","","","","","","","","","",,,,,"",,,,"Patient2.dateOfBirth",0,1,"",""
"Patient2.dateOfDeath","Patient2.dateOfDeath","","","",0,1,"","","","Element {[]} {[]}
","DATE OF DEATH (-.351)","DATE OF DEATH (-.351)","","","","","","","","","",,,,,"",,,,"Patient2.dateOfDeath",0,1,"",""
"Patient2.streetAddressLine1","Patient2.streetAddressLine1","","","",0,1,"","","","Element {[]} {[]}
","STREET ADDRESS [LINE 1] (-.111)","STREET ADDRESS [LINE 1] (-.111)","","","","","","","","","",,,,,"",,,,"Patient2.streetAddressLine1",0,1,"",""
"Patient2.streetAddressLine2","Patient2.streetAddressLine2","","","",0,1,"","","","Element {[]} {[]}
","STREET ADDRESS [LINE 2] (-.112)","STREET ADDRESS [LINE 2] (-.112)","","","","","","","","","",,,,,"",,,,"Patient2.streetAddressLine2",0,1,"",""
"Patient2.streetAddressLine3","Patient2.streetAddressLine3","","","",0,1,"","","","Element {[]} {[]}
","STREET ADDRESS [LINE 3] (-.113)","STREET ADDRESS [LINE 3] (-.113)","","","","","","","","","",,,,,"",,,,"Patient2.streetAddressLine3",0,1,"",""
"Patient2.city","Patient2.city","","","",0,1,"","","","Element {[]} {[]}
","CITY (-.114)","CITY (-.114)","","","","","","","","","",,,,,"",,,,"Patient2.city",0,1,"",""
"Patient2.state","Patient2.state","","","",0,1,"","","","Element {[]} {[]}
","STATE (-.115)","STATE (-.115)","","","","","","","","","",,,,,"",,,,"Patient2.state",0,1,"",""
"Patient2.zip4","Patient2.zip4","","","",0,1,"","","","Element {[]} {[]}
","ZIP+4 (-.1112)","ZIP+4 (-.1112)","","","","","","","","","",,,,,"",,,,"Patient2.zip4",0,1,"",""
"Patient2.country","Patient2.country","","","",0,1,"","","","Element {[]} {[]}
","COUNTRY (-.1173)","COUNTRY (-.1173)","","","","","","","","","",,,,,"",,,,"Patient2.country",0,1,"",""
"Patient2.temporaryAddressStartDate","Patient2.temporaryAddressStartDate","","","",0,1,"","","","Element {[]} {[]}
","TEMPORARY ADDRESS START DATE (-.1217)","TEMPORARY ADDRESS START DATE (-.1217)","","","","","","","","","",,,,,"",,,,"Patient2.temporaryAddressStartDate",0,1,"",""
"Patient2.temporaryAddressEndDate","Patient2.temporaryAddressEndDate","","","",0,1,"","","","Element {[]} {[]}
","TEMPORARY ADDRESS END DATE (-.1218)","TEMPORARY ADDRESS END DATE (-.1218)","","","","","","","","","",,,,,"",,,,"Patient2.temporaryAddressEndDate",0,1,"",""
"Patient2.languageDatetime","Patient2.languageDatetime","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/LanguageDatetime207]]}
","LANGUAGE DATE/TIME (-7)","LANGUAGE DATE/TIME (-7)","","","","","","","","","",,,,,"",,,,"Patient2.languageDatetime",0,1,"",""
"Patient2.sex","Patient2.sex","","","",0,1,"","","","Coding {[]} {[]}
","SEX (-.02)","SEX (-.02)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFbirthSex-vista","",,,,"Patient2.sex",0,1,"",""
"Patient2.selfIdentifiedGender","Patient2.selfIdentifiedGender","","","",0,1,"","","","Coding {[]} {[]}
","SELF IDENTIFIED GENDER (-.024)","SELF IDENTIFIED GENDER (-.024)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFgenderIdentity-vista","",,,,"Patient2.selfIdentifiedGender",0,1,"",""
"Patient2.ethnicityInformation","Patient2.ethnicityInformation","","","",0,1,"","","","Coding {[]} {[]}
","ETHNICITY INFORMATION (-6)","ETHNICITY INFORMATION (-6)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFethnicityCategory-vista","",,,,"Patient2.ethnicityInformation",0,1,"",""
"Patient2.raceInformation","Patient2.raceInformation","","","",0,1,"","","","Coding {[]} {[]}
","RACE INFORMATION (-2)","RACE INFORMATION (-2)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFraceCategory-vista","",,,,"Patient2.raceInformation",0,1,"",""
"Patient2.maritalStatus","Patient2.maritalStatus","","","",0,1,"","","","Coding {[]} {[]}
","MARITAL STATUS (-.05)","MARITAL STATUS (-.05)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFMaritalStatus-vista","",,,,"Patient2.maritalStatus",0,1,"",""
"Patient2.religiousPreference","Patient2.religiousPreference","","","",0,1,"","","","Coding {[]} {[]}
","RELIGIOUS PREFERENCE (-.08)","RELIGIOUS PREFERENCE (-.08)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFReligion-vista","",,,,"Patient2.religiousPreference",0,1,"",""
"Patient2.appointment","Patient2.appointment","","","",0,1,"","","","Element {[]} {[]}
","APPOINTMENT (-1900)","APPOINTMENT (-1900)","","","","","","","","","",,,,,"",,,,"Patient2.appointment",0,1,"",""
"Patient2.laboratoryReference","Patient2.laboratoryReference","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/LabData63]]}
","LABORATORY REFERENCE (-63)","LABORATORY REFERENCE (-63)","","","","","","","","","",,,,,"",,,,"Patient2.laboratoryReference",0,1,"",""
